Mental_Health,Exercise_Category_Code
Sad/Hopeless,1
Not Sad,1
Not Sad,8
Sad/Hopeless,8
Not Sad,1
Sad/Hopeless,1
Not Sad,8
Not Sad,6
Not Sad,8
Not Sad,8
Sad/Hopeless,1
Not Sad,2
Sad/Hopeless,8
Sad/Hopeless,2
Sad/Hopeless,2
Not Sad,1
Not Sad,6
Sad/Hopeless,3
Sad/Hopeless,2
Not Sad,4
Sad/Hopeless,2
Not Sad,1
Not Sad,6
Sad/Hopeless,2
Sad/Hopeless,8
Not Sad,5
Not Sad,2
Sad/Hopeless,1
Not Sad,1
Sad/Hopeless,3
Sad/Hopeless,3
Not Sad,3
Not Sad,1
Not Sad,3
Sad/Hopeless,3
Sad/Hopeless,1
Sad/Hopeless,4
Not Sad,1
Not Sad,1
Not Sad,1
Not Sad,1
Sad/Hopeless,1
Not Sad,1
Not Sad,6
Sad/Hopeless,1
Sad/Hopeless,4
Not Sad,5
Sad/Hopeless,2
Not Sad,2
Not Sad,3
Not Sad,4
Not Sad,1
Not Sad,1
Not Sad,3
Sad/Hopeless,2
Not Sad,1
Not Sad,1
Not Sad,4
Sad/Hopeless,3
Sad/Hopeless,1
Sad/Hopeless,3
Sad/Hopeless,1
Sad/Hopeless,1
Sad/Hopeless,1
Not Sad,3
Not Sad,2
Not Sad,5
Not Sad,4
Not Sad,4
Sad/Hopeless,1
Sad/Hopeless,3
Sad/Hopeless,3
Not Sad,3
Sad/Hopeless,1
Not Sad,1
Not Sad,2
Not Sad,1
Not Sad,8
Not Sad,4
Not Sad,5
Sad/Hopeless,8
Not Sad,8
Not Sad,3
Not Sad,3
Not Sad,1
Not Sad,1
Sad/Hopeless,1
Not Sad,1
Not Sad,1
Sad/Hopeless,1
Sad/Hopeless,2
Sad/Hopeless,3
Not Sad,5
Not Sad,6
Not Sad,6
Sad/Hopeless,1
Sad/Hopeless,3
Sad/Hopeless,2
Not Sad,2
Not Sad,6
Not Sad,5
Not Sad,4
Not Sad,8
Not Sad,4
Not Sad,2
Not Sad,8
Not Sad,1
Not Sad,1
Not Sad,2
Sad/Hopeless,1
Sad/Hopeless,5
Sad/Hopeless,7
Sad/Hopeless,8
Not Sad,1
Not Sad,1
Not Sad,2
Not Sad,1
Not Sad,8
Not Sad,5
Not Sad,3
Not Sad,8
Not Sad,2
Not Sad,5
Not Sad,1
Sad/Hopeless,2
Sad/Hopeless,5
Not Sad,4
Not Sad,1
Not Sad,8
Sad/Hopeless,2
Not Sad,8
Sad/Hopeless,2
Not Sad,3
Not Sad,1
Not Sad,1
Not Sad,1
Not Sad,3
Not Sad,1
Sad/Hopeless,1
Not Sad,1
Not Sad,6
Not Sad,8
Sad/Hopeless,1
Not Sad,4
Not Sad,1
Not Sad,1
Sad/Hopeless,5
Not Sad,1
Not Sad,1
Sad/Hopeless,2
Not Sad,7
Sad/Hopeless,4
Not Sad,6
Not Sad,6
Not Sad,1
Not Sad,8
Not Sad,1
Not Sad,1
Not Sad,2
Not Sad,3
Not Sad,4
Sad/Hopeless,4
Sad/Hopeless,3
Not Sad,8
Not Sad,4
Not Sad,1
Not Sad,7
Not Sad,7
Not Sad,2
Not Sad,8
Not Sad,8
Not Sad,5
Sad/Hopeless,4
Sad/Hopeless,7
Not Sad,6
Not Sad,8
Not Sad,8
Not Sad,4
Not Sad,4
Not Sad,1
Sad/Hopeless,3
Not Sad,6
Not Sad,1
Sad/Hopeless,2
Not Sad,7
Sad/Hopeless,1
Not Sad,8
Sad/Hopeless,4
Not Sad,2
Sad/Hopeless,7
Not Sad,1
Not Sad,6
Sad/Hopeless,1
Sad/Hopeless,2
Not Sad,2
Sad/Hopeless,6
Not Sad,5
Not Sad,4
Sad/Hopeless,1
Not Sad,7
Not Sad,2
Not Sad,1
Sad/Hopeless,5
Sad/Hopeless,6
Not Sad,8
Not Sad,2
Sad/Hopeless,8
Not Sad,8
Not Sad,8
Not Sad,6
Not Sad,1
Not Sad,3
Not Sad,2
Not Sad,6
Not Sad,2
Not Sad,8
Sad/Hopeless,2
Sad/Hopeless,7
Sad/Hopeless,8
Not Sad,8
Not Sad,7
Sad/Hopeless,6
Not Sad,1
Not Sad,2
Sad/Hopeless,4
Not Sad,6
Not Sad,8
Not Sad,6
Not Sad,6
Not Sad,1
Not Sad,2
Sad/Hopeless,4
Not Sad,1
Not Sad,6
Not Sad,1
Not Sad,1
Not Sad,7
Not Sad,8
Not Sad,8
Not Sad,7
Not Sad,7
Not Sad,8
Not Sad,3
Not Sad,8
Not Sad,7
Sad/Hopeless,7
Not Sad,2
Not Sad,7
Not Sad,1
Not Sad,8
Not Sad,1
Not Sad,1
Not Sad,6
Sad/Hopeless,2
Sad/Hopeless,8
Not Sad,1
Not Sad,1
Not Sad,3
Not Sad,1
Not Sad,7
Sad/Hopeless,4
Not Sad,8
Not Sad,2
Not Sad,8
Not Sad,1
Not Sad,7
Not Sad,5
Not Sad,1
Not Sad,8
Not Sad,7
Not Sad,4
Not Sad,1
Not Sad,4
Not Sad,6
Sad/Hopeless,5
Not Sad,1
Not Sad,4
Not Sad,5
Not Sad,1
Not Sad,1
Sad/Hopeless,5
Not Sad,5
Not Sad,6
Not Sad,5
Not Sad,3
Sad/Hopeless,1
Not Sad,6
Not Sad,4
Not Sad,5
Sad/Hopeless,3
Not Sad,4
Not Sad,1
Not Sad,6
Not Sad,2
Not Sad,2
Not Sad,5
Not Sad,5
Not Sad,6
Not Sad,5
Sad/Hopeless,6
Not Sad,8
Not Sad,3
Not Sad,1
Not Sad,2
Not Sad,7
Not Sad,4
Not Sad,8
Sad/Hopeless,3
Not Sad,5
Sad/Hopeless,3
Not Sad,1
Not Sad,8
Sad/Hopeless,3
Sad/Hopeless,4
Sad/Hopeless,6
Not Sad,2
Not Sad,4
Sad/Hopeless,1
Not Sad,8
Sad/Hopeless,1
Sad/Hopeless,6
Sad/Hopeless,6
Not Sad,3
Not Sad,1
Not Sad,7
Not Sad,5
Not Sad,3
Sad/Hopeless,1
Sad/Hopeless,3
Sad/Hopeless,1
Not Sad,6
Sad/Hopeless,1
Not Sad,1
Not Sad,6
Not Sad,4
Not Sad,5
Not Sad,1
Not Sad,6
Not Sad,8
Not Sad,1
Not Sad,7
Not Sad,6
Not Sad,7
Not Sad,4
Not Sad,3
Not Sad,2
Not Sad,8
Not Sad,7
Sad/Hopeless,4
Sad/Hopeless,5
Not Sad,6
Not Sad,4
Not Sad,6
Not Sad,1
Not Sad,1
Sad/Hopeless,6
Not Sad,1
Not Sad,8
Sad/Hopeless,1
Not Sad,7
Not Sad,4
Not Sad,8
Sad/Hopeless,5
Not Sad,2
Sad/Hopeless,4
Not Sad,2
Not Sad,1
Not Sad,8
Not Sad,8
Not Sad,4
Sad/Hopeless,1
Not Sad,2
Sad/Hopeless,1
Not Sad,8
Not Sad,1
Not Sad,1
Not Sad,7
Not Sad,8
Not Sad,6
Sad/Hopeless,2
Not Sad,4
Not Sad,5
Not Sad,4
Sad/Hopeless,1
Not Sad,1
Not Sad,2
Sad/Hopeless,5
Not Sad,6
Sad/Hopeless,3
Not Sad,1
Not Sad,7
Not Sad,3
Sad/Hopeless,3
Sad/Hopeless,2
Not Sad,5
Not Sad,1
Not Sad,8
Not Sad,8
Sad/Hopeless,2
Not Sad,4
Not Sad,7
Not Sad,8
Not Sad,6
Not Sad,4
Not Sad,4
Not Sad,6
Sad/Hopeless,6
Not Sad,7
Not Sad,8
Not Sad,8
Not Sad,7
Not Sad,8
Not Sad,6
Not Sad,8
Not Sad,4
Not Sad,5
Not Sad,8
Not Sad,8
Not Sad,7
Not Sad,1
Sad/Hopeless,8
Sad/Hopeless,8
Not Sad,1
Not Sad,6
Sad/Hopeless,1
Not Sad,5
Not Sad,7
Sad/Hopeless,8
Not Sad,5
Not Sad,8
Not Sad,4
Not Sad,8
Not Sad,6
Not Sad,4
Not Sad,7
Not Sad,4
Sad/Hopeless,4
Not Sad,7
Not Sad,5
Not Sad,5
Not Sad,8
Sad/Hopeless,3
Not Sad,5
Not Sad,7
Not Sad,7
Not Sad,1
Sad/Hopeless,1
Not Sad,5
Sad/Hopeless,7
Not Sad,5
Not Sad,3
Not Sad,5
Not Sad,7
Not Sad,6
Not Sad,1
Not Sad,8
Not Sad,1
Sad/Hopeless,7
Sad/Hopeless,1
Sad/Hopeless,1
Not Sad,5
Not Sad,8
Not Sad,1
Sad/Hopeless,6
Not Sad,3
Not Sad,5
Sad/Hopeless,4
Sad/Hopeless,6
Sad/Hopeless,1
Sad/Hopeless,8
Sad/Hopeless,7
Sad/Hopeless,6
Not Sad,5
Sad/Hopeless,8
Not Sad,3
Not Sad,7
Sad/Hopeless,8
Not Sad,6
Not Sad,2
Not Sad,7
Not Sad,7
Not Sad,1
Not Sad,5
Not Sad,7
Not Sad,8
Not Sad,7
Not Sad,1
Sad/Hopeless,1
Sad/Hopeless,1
Not Sad,1
Not Sad,2
Not Sad,2
Sad/Hopeless,8
Sad/Hopeless,6
Not Sad,2
Not Sad,8
Not Sad,3
Not Sad,8
Not Sad,1
Not Sad,1
Not Sad,5
Not Sad,2
Not Sad,5
Not Sad,2
Sad/Hopeless,5
Sad/Hopeless,2
Not Sad,6
Sad/Hopeless,1
Not Sad,8
Sad/Hopeless,1
Not Sad,2
Not Sad,3
Not Sad,3
Sad/Hopeless,3
Sad/Hopeless,3
Not Sad,5
Sad/Hopeless,2
Not Sad,2
Not Sad,6
Sad/Hopeless,2
Not Sad,3
Not Sad,8
Not Sad,8
Not Sad,3
Not Sad,1
Not Sad,8
Not Sad,3
Not Sad,3
Not Sad,4
Not Sad,2
Not Sad,8
Not Sad,2
Not Sad,5
Not Sad,6
Not Sad,1
Not Sad,5
Not Sad,3
Not Sad,1
Not Sad,4
Not Sad,1
Not Sad,2
Not Sad,2
Not Sad,3
Sad/Hopeless,2
Not Sad,1
Not Sad,2
Not Sad,5
Sad/Hopeless,1
Sad/Hopeless,3
Not Sad,5
Sad/Hopeless,2
Not Sad,1
Sad/Hopeless,3
Sad/Hopeless,3
Not Sad,3
Not Sad,6
Not Sad,4
Not Sad,5
Not Sad,1
Not Sad,8
Sad/Hopeless,3
Not Sad,8
Not Sad,5
Not Sad,6
Not Sad,3
Not Sad,8
Sad/Hopeless,8
Sad/Hopeless,4
Not Sad,4
Not Sad,8
Not Sad,6
Sad/Hopeless,6
Sad/Hopeless,5
Not Sad,2
Not Sad,8
Sad/Hopeless,4
Not Sad,8
Not Sad,6
Not Sad,4
Not Sad,5
Not Sad,1
Not Sad,3
Not Sad,8
Not Sad,8
Not Sad,4
Not Sad,5
Sad/Hopeless,4
Not Sad,5
Not Sad,8
Sad/Hopeless,8
Not Sad,4
Sad/Hopeless,8
Sad/Hopeless,5
Not Sad,5
Not Sad,4
Not Sad,2
Not Sad,2
Not Sad,7
Not Sad,8
Sad/Hopeless,1
Sad/Hopeless,3
Not Sad,2
Sad/Hopeless,7
Sad/Hopeless,8
Sad/Hopeless,8
Not Sad,8
Not Sad,6
Sad/Hopeless,1
Sad/Hopeless,7
Not Sad,6
Not Sad,1
Sad/Hopeless,3
Not Sad,7
Not Sad,1
Not Sad,4
Not Sad,7
Sad/Hopeless,1
Not Sad,6
Not Sad,5
Sad/Hopeless,2
Sad/Hopeless,2
Not Sad,2
Not Sad,1
Not Sad,1
Sad/Hopeless,2
Sad/Hopeless,1
Not Sad,3
Not Sad,1
Not Sad,6
Not Sad,4
Not Sad,1
Not Sad,1
Not Sad,6
Not Sad,1
Not Sad,8
Not Sad,4
Not Sad,8
Not Sad,6
Not Sad,1
Sad/Hopeless,6
Sad/Hopeless,2
Not Sad,4
Not Sad,3
Sad/Hopeless,7
Sad/Hopeless,1
Sad/Hopeless,3
Sad/Hopeless,2
Not Sad,1
Not Sad,1
Not Sad,8
Not Sad,4
Not Sad,2
Sad/Hopeless,8
Not Sad,1
Not Sad,4
Not Sad,1
Sad/Hopeless,8
Not Sad,8
Not Sad,4
Not Sad,4
Not Sad,2
Not Sad,1
Not Sad,2
Sad/Hopeless,1
Not Sad,1
Sad/Hopeless,1
Sad/Hopeless,4
Not Sad,4
Not Sad,6
Sad/Hopeless,3
Not Sad,8
Not Sad,5
Not Sad,2
Not Sad,1
Sad/Hopeless,3
Sad/Hopeless,5
Not Sad,3
Sad/Hopeless,5
Not Sad,4
Not Sad,5
Not Sad,5
Not Sad,5
Sad/Hopeless,4
Not Sad,5
Not Sad,8
Not Sad,8
Sad/Hopeless,4
Sad/Hopeless,8
Not Sad,3
Sad/Hopeless,5
Not Sad,4
Not Sad,2
Not Sad,1
Not Sad,1
Not Sad,2
Not Sad,8
Not Sad,4
Not Sad,1
Not Sad,2
Not Sad,1
Not Sad,4
Not Sad,1
Not Sad,3
Not Sad,5
Not Sad,2
Sad/Hopeless,3
Not Sad,1
Not Sad,6
Not Sad,8
Not Sad,5
Not Sad,5
Not Sad,4
Sad/Hopeless,3
Sad/Hopeless,2
Not Sad,1
Not Sad,8
Sad/Hopeless,5
Sad/Hopeless,6
Not Sad,4
Not Sad,8
Not Sad,3
Not Sad,3
Not Sad,8
Not Sad,7
Not Sad,8
Not Sad,8
Not Sad,1
Not Sad,3
Sad/Hopeless,5
Sad/Hopeless,5
Not Sad,5
Sad/Hopeless,3
Sad/Hopeless,1
Not Sad,2
Not Sad,2
Not Sad,5
Not Sad,1
Sad/Hopeless,6
Not Sad,3
Sad/Hopeless,3
Sad/Hopeless,6
Not Sad,1
Not Sad,8
Sad/Hopeless,8
Sad/Hopeless,1
Not Sad,1
Sad/Hopeless,2
Sad/Hopeless,4
Not Sad,8
Not Sad,8
Sad/Hopeless,5
Not Sad,5
Not Sad,8
Not Sad,5
Not Sad,1
Not Sad,1
Not Sad,1
Sad/Hopeless,8
Sad/Hopeless,2
Not Sad,4
Not Sad,1
Not Sad,6
Not Sad,4
Not Sad,2
Not Sad,1
Not Sad,6
Not Sad,4
Not Sad,6
Not Sad,1
Not Sad,1
Sad/Hopeless,1
Not Sad,4
Not Sad,1
Not Sad,4
Sad/Hopeless,6
Not Sad,8
Not Sad,5
Not Sad,8
Not Sad,7
Not Sad,8
Not Sad,8
Not Sad,1
Not Sad,5
Not Sad,3
Not Sad,6
Sad/Hopeless,5
Not Sad,6
Not Sad,3
Sad/Hopeless,3
Not Sad,6
Sad/Hopeless,5
Not Sad,3
Not Sad,4
Not Sad,4
Not Sad,5
Not Sad,1
Not Sad,8
Not Sad,2
Not Sad,1
Not Sad,8
Not Sad,1
Not Sad,8
Not Sad,1
Not Sad,8
Not Sad,4
Sad/Hopeless,5
Not Sad,1
Sad/Hopeless,3
Not Sad,3
Sad/Hopeless,5
Not Sad,3
Sad/Hopeless,1
Not Sad,8
Not Sad,8
Sad/Hopeless,4
Not Sad,1
Sad/Hopeless,5
Not Sad,7
Not Sad,2
Not Sad,1
Sad/Hopeless,1
Sad/Hopeless,4
Not Sad,1
Not Sad,6
Not Sad,8
Not Sad,4
Not Sad,8
Not Sad,6
Sad/Hopeless,7
Not Sad,8
Not Sad,1
Not Sad,3
Sad/Hopeless,3
Sad/Hopeless,6
Not Sad,7
Not Sad,1
Sad/Hopeless,4
Not Sad,1
Not Sad,4
Not Sad,3
Not Sad,1
Not Sad,1
Sad/Hopeless,1
Not Sad,1
Not Sad,1
Not Sad,6
Sad/Hopeless,1
Not Sad,5
Not Sad,4
Sad/Hopeless,8
Sad/Hopeless,6
Not Sad,1
Sad/Hopeless,4
Not Sad,1
Not Sad,2
Not Sad,1
Not Sad,8
Not Sad,6
Sad/Hopeless,8
Not Sad,6
Sad/Hopeless,3
Not Sad,4
Sad/Hopeless,6
Not Sad,7
Not Sad,8
Not Sad,8
Not Sad,1
Not Sad,1
Not Sad,7
Not Sad,6
Sad/Hopeless,5
Not Sad,8
Not Sad,1
Not Sad,4
Not Sad,4
Sad/Hopeless,2
Not Sad,8
Not Sad,8
Not Sad,1
Not Sad,5
Not Sad,1
Sad/Hopeless,1
Sad/Hopeless,2
Sad/Hopeless,3
Not Sad,1
Sad/Hopeless,6
Not Sad,1
Sad/Hopeless,8
Not Sad,8
Not Sad,4
Not Sad,1
Not Sad,5
Sad/Hopeless,1
Not Sad,1
Sad/Hopeless,3
Sad/Hopeless,1
Not Sad,6
Sad/Hopeless,1
Not Sad,1
Sad/Hopeless,1
Sad/Hopeless,6
Not Sad,1
Sad/Hopeless,3
Sad/Hopeless,6
Sad/Hopeless,1
Not Sad,3
Sad/Hopeless,1
Not Sad,8
Not Sad,8
Not Sad,1
Not Sad,4
Sad/Hopeless,6
Sad/Hopeless,8
Not Sad,1
Not Sad,8
Not Sad,8
Sad/Hopeless,1
Sad/Hopeless,6
Sad/Hopeless,1
Not Sad,3
Not Sad,3
Not Sad,1
Not Sad,1
Sad/Hopeless,4
Not Sad,3
Not Sad,6
Not Sad,8
Not Sad,7
Sad/Hopeless,3
Not Sad,5
Not Sad,6
Not Sad,8
Not Sad,3
Not Sad,6
Not Sad,8
Not Sad,3
Sad/Hopeless,7
Not Sad,1
Sad/Hopeless,1
Sad/Hopeless,1
Not Sad,6
Not Sad,6
Sad/Hopeless,8
Not Sad,2
Sad/Hopeless,5
Not Sad,2
Not Sad,2
Not Sad,2
Not Sad,2
Sad/Hopeless,6
Sad/Hopeless,1
Sad/Hopeless,1
Sad/Hopeless,3
Not Sad,8
Not Sad,7
Not Sad,7
Not Sad,1
Not Sad,6
Not Sad,8
Sad/Hopeless,4
Sad/Hopeless,6
Sad/Hopeless,4
Not Sad,8
Not Sad,3
Not Sad,3
Not Sad,2
Not Sad,8
Sad/Hopeless,2
Sad/Hopeless,3
Not Sad,8
Sad/Hopeless,1
Not Sad,1
Sad/Hopeless,1
Sad/Hopeless,1
Not Sad,4
Sad/Hopeless,7
Not Sad,5
Not Sad,8
Not Sad,2
Not Sad,1
Not Sad,6
Sad/Hopeless,4
Sad/Hopeless,7
Not Sad,1
Sad/Hopeless,2
Not Sad,7
Not Sad,1
Not Sad,8
Not Sad,6
Not Sad,8
Not Sad,2
Not Sad,8
Not Sad,4
Sad/Hopeless,6
Sad/Hopeless,4
Not Sad,7
Not Sad,1
Sad/Hopeless,3
Not Sad,4
Sad/Hopeless,3
Sad/Hopeless,4
Not Sad,7
Not Sad,1
Sad/Hopeless,4
Sad/Hopeless,6
Not Sad,1
Not Sad,1
Not Sad,1
Sad/Hopeless,1
Not Sad,8
Sad/Hopeless,5
Not Sad,4
Not Sad,3
Not Sad,4
Not Sad,1
Not Sad,1
Sad/Hopeless,5
Sad/Hopeless,6
Not Sad,5
Sad/Hopeless,8
Not Sad,5
Sad/Hopeless,2
Not Sad,5
Not Sad,5
Not Sad,7
Sad/Hopeless,3
Not Sad,1
Not Sad,4
Not Sad,1
Not Sad,4
Not Sad,3
Sad/Hopeless,5
Not Sad,5
Not Sad,1
Not Sad,7
Sad/Hopeless,8
Not Sad,1
Not Sad,5
Sad/Hopeless,8
Not Sad,6
Not Sad,2
Not Sad,1
Not Sad,8
Not Sad,8
Not Sad,6
Not Sad,1
Not Sad,1
Not Sad,4
Not Sad,5
Not Sad,8
Not Sad,2
Not Sad,6
Not Sad,2
Sad/Hopeless,1
Not Sad,6
Not Sad,1
Not Sad,5
Not Sad,3
Not Sad,7
Sad/Hopeless,6
Not Sad,2
Not Sad,3
Sad/Hopeless,1
Not Sad,6
Not Sad,1
Not Sad,4
Not Sad,6
Sad/Hopeless,5
Sad/Hopeless,1
Not Sad,5
Sad/Hopeless,5
Sad/Hopeless,2
Not Sad,4
Not Sad,2
Not Sad,1
Not Sad,1
Not Sad,6
Not Sad,1
Not Sad,8
Not Sad,7
Not Sad,1
Not Sad,6
Sad/Hopeless,6
Not Sad,1
Sad/Hopeless,2
Sad/Hopeless,8
Sad/Hopeless,1
Not Sad,3
Not Sad,7
Not Sad,1
Not Sad,2
Sad/Hopeless,1
Not Sad,2
Not Sad,7
Not Sad,2
Sad/Hopeless,8
Sad/Hopeless,8
Sad/Hopeless,3
Not Sad,6
Sad/Hopeless,2
Not Sad,4
Not Sad,8
Not Sad,6
Not Sad,6
Not Sad,5
Not Sad,1
Not Sad,1
Not Sad,4
Not Sad,8
Sad/Hopeless,5
Not Sad,6
Not Sad,3
Sad/Hopeless,2
Not Sad,7
Not Sad,1
Not Sad,8
Not Sad,7
Not Sad,6
Not Sad,8
Not Sad,7
Not Sad,6
Not Sad,1
Sad/Hopeless,5
Not Sad,1
Not Sad,1
Not Sad,4
Not Sad,6
Not Sad,6
Not Sad,7
Not Sad,6
Not Sad,3
Not Sad,8
Not Sad,7
Not Sad,8
Not Sad,5
Not Sad,8
Not Sad,7
Sad/Hopeless,8
Not Sad,5
Not Sad,1
Not Sad,6
Not Sad,5
Not Sad,1
Sad/Hopeless,1
Not Sad,1
Not Sad,6
Not Sad,1
Not Sad,6
Not Sad,2
Sad/Hopeless,4
Not Sad,3
Sad/Hopeless,8
Not Sad,1
Not Sad,6
Not Sad,1
Not Sad,7
Sad/Hopeless,1
Sad/Hopeless,8
Sad/Hopeless,1
Sad/Hopeless,2
Not Sad,1
Not Sad,3
Not Sad,1
Not Sad,7
Sad/Hopeless,4
Not Sad,4
Not Sad,8
Not Sad,4
Not Sad,5
Not Sad,8
Not Sad,7
Not Sad,1
Not Sad,6
Not Sad,6
Sad/Hopeless,1
Not Sad,7
Not Sad,8
Not Sad,2
Sad/Hopeless,3
Not Sad,4
Not Sad,7
Sad/Hopeless,1
Not Sad,7
Not Sad,5
Sad/Hopeless,8
Not Sad,5
Sad/Hopeless,1
Not Sad,6
Not Sad,6
Not Sad,1
Not Sad,3
Not Sad,6
Not Sad,1
Sad/Hopeless,8
Not Sad,5
Not Sad,1
Sad/Hopeless,5
Not Sad,4
Not Sad,2
Sad/Hopeless,1
Sad/Hopeless,8
Not Sad,1
Sad/Hopeless,1
Sad/Hopeless,3
Sad/Hopeless,5
Not Sad,6
Sad/Hopeless,1
Sad/Hopeless,1
Sad/Hopeless,1
Not Sad,2
Not Sad,1
Not Sad,1
Not Sad,1
Sad/Hopeless,1
Not Sad,1
Not Sad,1
Not Sad,4
Sad/Hopeless,1
Not Sad,1
Not Sad,1
Sad/Hopeless,1
Sad/Hopeless,8
Sad/Hopeless,3
Not Sad,1
Not Sad,1
Not Sad,4
Not Sad,5
Sad/Hopeless,1
Not Sad,4
Sad/Hopeless,8
Sad/Hopeless,8
Not Sad,7
Sad/Hopeless,8
Not Sad,3
Not Sad,5
Not Sad,7
Not Sad,6
Not Sad,4
Not Sad,1
Not Sad,1
Sad/Hopeless,8
Not Sad,4
Sad/Hopeless,3
Not Sad,4
Not Sad,1
Not Sad,8
Not Sad,6
Not Sad,1
Not Sad,5
Sad/Hopeless,1
Sad/Hopeless,4
Sad/Hopeless,8
Not Sad,8
Sad/Hopeless,8
Not Sad,1
Sad/Hopeless,1
Not Sad,4
Sad/Hopeless,5
Not Sad,1
Sad/Hopeless,8
Not Sad,8
Sad/Hopeless,6
Sad/Hopeless,4
Not Sad,8
Not Sad,1
Not Sad,1
Sad/Hopeless,1
Not Sad,8
Sad/Hopeless,8
Sad/Hopeless,3
Not Sad,5
Not Sad,1
Sad/Hopeless,1
Not Sad,4
Sad/Hopeless,7
Not Sad,1
Sad/Hopeless,6
Not Sad,4
Not Sad,1
Not Sad,8
Not Sad,1
Sad/Hopeless,8
Sad/Hopeless,3
Sad/Hopeless,3
Sad/Hopeless,3
Not Sad,3
Not Sad,8
Not Sad,6
Not Sad,8
Sad/Hopeless,8
Not Sad,8
Sad/Hopeless,1
Not Sad,5
Not Sad,1
Not Sad,3
Sad/Hopeless,3
Not Sad,1
Not Sad,1
Not Sad,6
Not Sad,1
Not Sad,4
Not Sad,7
Not Sad,7
Not Sad,2
Not Sad,1
Sad/Hopeless,7
Not Sad,4
Not Sad,2
Sad/Hopeless,8
Sad/Hopeless,8
Not Sad,3
Not Sad,3
Not Sad,1
Not Sad,2
Not Sad,1
Sad/Hopeless,3
Not Sad,8
Sad/Hopeless,2
Sad/Hopeless,6
Not Sad,3
Not Sad,3
Not Sad,4
Not Sad,3
Sad/Hopeless,4
Not Sad,8
Not Sad,8
Not Sad,1
Sad/Hopeless,1
Not Sad,1
Not Sad,1
Not Sad,3
Not Sad,6
Not Sad,2
Not Sad,1
Sad/Hopeless,3
Sad/Hopeless,2
Not Sad,7
Not Sad,4
Not Sad,6
Not Sad,2
Not Sad,5
Not Sad,6
Not Sad,4
Not Sad,1
Not Sad,8
Not Sad,6
Not Sad,6
Not Sad,6
Not Sad,3
Sad/Hopeless,2
Not Sad,4
Not Sad,3
Not Sad,7
Not Sad,5
Not Sad,1
Not Sad,1
Not Sad,1
Sad/Hopeless,7
Not Sad,2
Not Sad,4
Not Sad,1
Sad/Hopeless,1
Not Sad,5
Sad/Hopeless,1
Sad/Hopeless,1
Sad/Hopeless,1
Not Sad,5
Sad/Hopeless,1
Not Sad,3
Sad/Hopeless,8
Sad/Hopeless,1
Sad/Hopeless,1
Not Sad,1
Not Sad,8
Not Sad,8
Sad/Hopeless,3
Not Sad,7
Sad/Hopeless,8
Not Sad,8
Not Sad,4
Not Sad,2
Not Sad,1
Not Sad,7
Sad/Hopeless,5
Sad/Hopeless,6
Not Sad,3
Sad/Hopeless,2
Sad/Hopeless,6
Not Sad,5
Sad/Hopeless,1
Sad/Hopeless,1
Not Sad,2
Not Sad,1
Not Sad,1
Sad/Hopeless,6
Sad/Hopeless,1
Not Sad,5
Not Sad,1
Not Sad,3
Not Sad,4
Not Sad,1
Not Sad,1
Not Sad,5
Sad/Hopeless,1
Sad/Hopeless,2
Not Sad,1
Not Sad,8
Not Sad,4
Not Sad,3
Not Sad,1
Sad/Hopeless,7
Not Sad,5
Not Sad,6
Sad/Hopeless,1
Not Sad,1
Sad/Hopeless,8
Not Sad,5
Sad/Hopeless,8
Not Sad,8
Not Sad,4
Not Sad,6
Not Sad,8
Not Sad,4
Sad/Hopeless,1
Not Sad,1
Not Sad,8
Not Sad,3
Sad/Hopeless,8
Not Sad,2
Not Sad,1
Not Sad,1
Sad/Hopeless,2
Sad/Hopeless,2
Sad/Hopeless,1
Not Sad,4
Not Sad,1
Not Sad,5
Not Sad,1
Not Sad,8
Not Sad,4
Not Sad,6
Sad/Hopeless,1
Not Sad,1
Not Sad,1
Not Sad,4
Not Sad,4
Not Sad,2
Not Sad,5
Not Sad,6
Not Sad,8
Not Sad,2
Not Sad,8
Not Sad,7
Not Sad,1
Not Sad,6
Not Sad,1
Not Sad,1
Not Sad,1
Sad/Hopeless,3
Sad/Hopeless,6
Sad/Hopeless,8
Not Sad,1
Sad/Hopeless,1
Sad/Hopeless,1
Not Sad,1
Not Sad,2
Sad/Hopeless,8
Not Sad,8
Sad/Hopeless,7
Not Sad,8
Not Sad,4
Not Sad,8
Not Sad,5
Not Sad,3
Not Sad,4
Not Sad,1
Sad/Hopeless,4
Not Sad,8
Not Sad,6
Not Sad,1
Sad/Hopeless,7
Not Sad,3
Not Sad,6
Sad/Hopeless,5
Not Sad,8
Sad/Hopeless,4
Sad/Hopeless,8
Not Sad,6
Sad/Hopeless,5
Not Sad,3
Sad/Hopeless,8
Not Sad,5
Sad/Hopeless,8
Not Sad,1
Not Sad,1
Not Sad,4
Not Sad,5
Sad/Hopeless,1
Sad/Hopeless,5
Not Sad,3
Sad/Hopeless,8
Not Sad,8
Not Sad,3
Not Sad,1
Sad/Hopeless,8
Sad/Hopeless,4
Sad/Hopeless,1
Not Sad,5
Not Sad,1
Not Sad,1
Not Sad,8
Sad/Hopeless,5
Not Sad,5
Sad/Hopeless,6
Sad/Hopeless,6
Sad/Hopeless,4
Sad/Hopeless,2
Not Sad,4
Not Sad,7
Not Sad,1
Sad/Hopeless,6
Not Sad,7
Not Sad,6
Not Sad,8
Not Sad,8
